地铁, 标题 ,小区, 户型, 面积 ,价格 ,发布时间 ,爬取时间 ,链接url
距离11号线御桥站254米,地杰国际城，人气房源，高清照片，2室2厅1卫,地杰国际城（F欧香四季）,2室2厅  ,109平  ,7000,2017.10.26,,http://sh.lianjia.com/zufang/shz4282066.html
距离11号线御桥站284米,实地看房，近地铁，链家有钥匙，低区出入方便,地杰国际城（E欧泊时光）,2室2厅  ,90平  ,5400,2017.07.28,,http://sh.lianjia.com/zufang/shz4122411.html
距离11号线御桥站685米,2室1厅，新出好房，交通便利，看房方便,京浦小区,2室1厅  ,52平  ,3700,2017.11.17,,http://sh.lianjia.com/zufang/shz4318588.html
距离11号线御桥站669米,新上房源，有钥匙，有爱有家，2室1厅1卫,人和新村,2室1厅  ,73平  ,4300,2017.11.17,,http://sh.lianjia.com/zufang/shz4317958.html
距离11号线御桥站292米,交通便利，低楼层，好房待租，两室户,御桥花园,2室2厅  ,65平  ,5000,2017.11.07,,http://sh.lianjia.com/zufang/shz4302371.html
距离11号线御桥站491米,如您所见，实地看房，钥匙在店，地铁沿线,御桥馨华苑,2室2厅  ,74平  ,4800,2017.10.14,,http://sh.lianjia.com/zufang/shz4263469.html
距离11号线御桥站685米,京浦小区，高区景观房，简约二室，钥匙在店,京浦小区,2室1厅  ,62平  ,4200,2017.11.01,,http://sh.lianjia.com/zufang/shz4291939.html
距离11号线御桥站685米,京浦小区，生活很便利，精致户型，看房方便,京浦小区,2室2厅  ,62平  ,4500,2017.10.15,,http://sh.lianjia.com/zufang/shz4265865.html
距离11号线御桥站685米,京浦小区，链家好房，适合自住，钥匙在店,京浦小区,2室1厅  ,62平  ,4300,2017.10.13,,http://sh.lianjia.com/zufang/shz4262613.html
距离11号线御桥站827米,和合新村，上下楼方便，链家有钥匙，刚挂牌,和合新村,2室2厅  ,71平  ,4800,2017.11.23,,http://sh.lianjia.com/zufang/shz4327122.html
距离11号线御桥站389米,民康苑，钥匙房，好房好心情，新鲜好房,民康苑,2室2厅  ,80平  ,6000,2017.11.15,,http://sh.lianjia.com/zufang/shz4314156.html
距离11号线御桥站685米,京浦小区2居室,京浦小区,2室1厅  ,52平  ,4360,2017.11.22,,http://sh.lianjia.com/zufang/shzr100044314.html
距离11号线御桥站324米,万科金色城市2居室,万科金色城市,2室2厅  ,89平  ,6300,2017.11.21,,http://sh.lianjia.com/zufang/shzr100044296.html
距离11号线御桥站685米,京浦小区2居室,京浦小区,2室1厅  ,53平  ,4260,2017.11.22,,http://sh.lianjia.com/zufang/shzr100044177.html
距离11号线御桥站324米,万科金色城市2居室,万科金色城市,2室2厅  ,78平  ,6000,2017.10.27,,http://sh.lianjia.com/zufang/shzr100040792.html
距离11号线御桥站292米,御桥花园2居室,御桥花园,2室2厅  ,62平  ,4650,2017.11.18,,http://sh.lianjia.com/zufang/shzr100039099.html
距离11号线御桥站292米,御桥花园2居室,御桥花园,2室2厅  ,62平  ,5030,2017.11.06,,http://sh.lianjia.com/zufang/shzr100038836.html
距离11号线御桥站292米,御桥花园2居室,御桥花园,2室2厅  ,62平  ,4990,2017.10.08,,http://sh.lianjia.com/zufang/shzr100038232.html
距离11号线御桥站475米,地杰国际城，好楼层，人气房源，适合自住,地杰国际城（D街坊）,2室2厅  ,84平  ,6000,2017.11.12,,http://sh.lianjia.com/zufang/shz4310751.html
距离11号线御桥站284米,地杰国际城，精致户型，低区出入方便，有爱有家,地杰国际城（E欧泊时光）,2室2厅  ,98平  ,6000,2017.10.27,,http://sh.lianjia.com/zufang/shz4283659.html
距离11号线御桥站324米,万科金色城市，光线充足，实地看房，放心好房,万科金色城市,2室2厅  ,76平  ,7000,2017.10.09,,http://sh.lianjia.com/zufang/shz4255046.html
距离11号线御桥站685米,链家房源，简约二室，近地铁，人气房源,京浦小区,2室1厅  ,53平  ,3800,2017.09.24,,http://sh.lianjia.com/zufang/shz4232147.html
距离11号线御桥站284米,地杰国际城，链家好房，人气房源，地铁沿线,地杰国际城（E欧泊时光）,2室2厅  ,90平  ,5800,2017.07.10,,http://sh.lianjia.com/zufang/shz4087778.html
距离11号线御桥站292米,新上房源，适合自住，链家房源，高区景观房,御桥花园,2室1厅  ,65平  ,4300,2017.11.19,,http://sh.lianjia.com/zufang/shz4320728.html
距离11号线御桥站292米,御桥花园，链家好房，交通便利，上下楼方便,御桥花园,2室2厅  ,75平  ,4000,2017.11.18,,http://sh.lianjia.com/zufang/shz4319587.html
距离11号线御桥站475米,新鲜好房，链家房源，附近有地铁，两室户,地杰国际城（D街坊）,2室2厅  ,84平  ,4800,2017.11.15,,http://sh.lianjia.com/zufang/shz4315069.html
距离11号线御桥站685米,京浦小区，高区阳光房，上门实勘，两室户,京浦小区,2室1厅  ,52平  ,3700,2017.11.09,,http://sh.lianjia.com/zufang/shz4305414.html
距离11号线御桥站284米,地杰国际城，新鲜挂牌，好楼层，出行方便,地杰国际城（E欧泊时光）,2室2厅  ,100平  ,5000,2017.10.23,,http://sh.lianjia.com/zufang/shz4277931.html
距离11号线御桥站685米,人气房源，精致户型，生活很便利，低楼层,京浦小区,2室1厅  ,59平  ,4200,2017.10.26,,http://sh.lianjia.com/zufang/shz4282730.html
距离11号线御桥站389米,民康苑，好房待租，闹中取静，交通方便,民康苑,2室2厅  ,88平  ,5600,2017.10.12,,http://sh.lianjia.com/zufang/shz4259289.html
距离11号线御桥站827米,和合新村，好楼层，两室户，交通便利,和合新村,2室2厅  ,72平  ,5000,2017.11.15,,http://sh.lianjia.com/zufang/shz4315661.html
距离11号线御桥站324米,高清照片，近地铁，南北通透，低楼层,万科金色城市,2室2厅  ,93平  ,6500,2017.11.14,,http://sh.lianjia.com/zufang/shz4313832.html
距离11号线御桥站292米,适合自住，出行方便，高清实拍，好房待租,御桥花园,2室1厅  ,65平  ,5000,2017.11.13,,http://sh.lianjia.com/zufang/shz4312562.html
距离11号线御桥站685米,京浦小区，好房好心情，附近有地铁，精致户型,京浦小区,2室1厅  ,62平  ,4800,2017.11.12,,http://sh.lianjia.com/zufang/shz4310367.html
距离11号线御桥站685米,京浦小区，链家好房，简约二室，上门实勘,京浦小区,2室1厅  ,52平  ,4000,2017.11.11,,http://sh.lianjia.com/zufang/shz4308283.html
距离11号线御桥站324米,万科金色城市，高区景观房，两室户，一链倾城,万科金色城市,2室2厅  ,76平  ,6500,2017.11.09,,http://sh.lianjia.com/zufang/shz4305270.html
距离11号线御桥站292米,御桥花园，精致户型，近地铁，一链倾城,御桥花园,2室1厅  ,65平  ,4500,2017.11.08,,http://sh.lianjia.com/zufang/shz4304646.html
距离11号线御桥站324米,万科金色城市，上门实勘，有爱有家，低楼层,万科金色城市,2室1厅  ,78平  ,6500,2017.11.03,,http://sh.lianjia.com/zufang/shz4296370.html
距离11号线御桥站284米,地杰国际城，交通便利，享受好房，适合自住,地杰国际城（E欧泊时光）,2室2厅  ,98平  ,7000,2017.10.22,,http://sh.lianjia.com/zufang/shz4277346.html
距离11号线御桥站505米,绿地御桥苑，两室户，采光棒，地铁沿线,绿地御桥苑,2室1厅  ,67平  ,4700,2017.08.24,,http://sh.lianjia.com/zufang/shz4176392.html
距离11号线御桥站284米,地杰国际城，两室户，近地铁，链家房源,地杰国际城（E欧泊时光）,2室2厅  ,99平  ,6000,2017.07.06,,http://sh.lianjia.com/zufang/shz4078355.html
距离11号线御桥站475米,地杰国际城，光线充足，生活很便利，精致户型,地杰国际城（D街坊）,2室2厅  ,80平  ,5000,2017.04.11,,http://sh.lianjia.com/zufang/shz3893095.html
距离11号线御桥站292米,御桥花园，空气清新，链家房源，交通方便,御桥花园,2室1厅  ,65平  ,4500,2017.11.02,,http://sh.lianjia.com/zufang/shz4294373.html
距离11号线御桥站983米,交通方便，低楼层，适合自住，如您所见,绿洲康城亲水湾（西区）,2室2厅  ,106平  ,4300,2017.10.20,,http://sh.lianjia.com/zufang/shz4273347.html
